from,to,kommentar,tonalität,zeit,folge,thema
SPD,RM,1,1,238,2,3
APH,RM,2,2,238,2,3
SPD,RM,1,1,238,2,3
ABG,RM,2,2,238,2,3
ON,RM,2,2,238,2,2
ON,RM,2,2,238,2,7
SPD,RM,1,1,238,2,3
CDU,RM,1,1,238,2,3
JT,RM,3,2,238,2,3
SPD,RM,1,1,238,2,3
FDP,CL,1,1,238,2,3
CDU,CL,1,1,238,2,3
FDP,CL,1,1,238,2,7
CDU,CL,1,1,238,2,7
SPD,CL,1,1,238,2,7
GRUENE,CL,1,1,238,2,7
FDP,CL,1,1,238,2,7
MF,CL,2,2,238,2,7
FDP,CL,1,1,238,2,7
FDP,CL,1,1,238,2,3
FDP,CL,1,1,238,2,3
FDP,CL,1,1,238,2,7
KD,CL,6,1,238,2,7
FDP,CL,1,1,238,2,7
GRUENE,CL,1,1,238,2,7
FDP,CL,1,1,238,2,7
AFD,CL,2,2,238,2,7
FDP,CL,1,1,238,2,7
FDP,CL,1,1,238,2,7
FDP,CL,1,1,238,2,7
CDU,CL,1,1,238,2,7
SPD,CL,1,1,238,2,7
FDP,CL,1,1,238,2,7
CDU,CL,1,1,238,2,7
FDP,CL,1,1,238,2,7
CDU,CL,1,1,238,2,7
SE,CL,3,2,238,2,7
LINKE,CL,2,2,238,1,7
FDP,CL,1,1,238,2,15
CDU,CL,1,1,238,2,15
AD,CL,6,1,238,2,15
FDP,CL,1,1,238,2,7
CDU,CL,1,1,238,2,7
JK,CL,6,2,238,2,7
AD,SPD,6,2,238,2,15
AD,GRUENE,6,2,238,2,15
CDU,JDW,1,1,238,2,7
SPD,JDW,1,1,238,2,7
GRUENE,JDW,1,1,238,2,7
AFD,JDW,2,2,238,2,7
AG,JDW,6,2,238,2,7
CDU,JDW,1,1,238,2,7
SPD,JDW,1,1,238,2,7
GRUENE,JDW,1,1,238,2,7
BB,JDW,6,2,238,2,7
UN,JDW,2,2,238,2,7
CDU,JDW,1,1,238,2,7
SPD,JDW,1,1,238,2,7
GRUENE,JDW,1,1,238,2,7
AG,JDW,6,2,238,2,7
CDU,JDW,1,1,238,2,7
SPD,JDW,1,1,238,2,7
MASZ,JDW,6,2,238,2,7
MASZ,JDW,6,2,238,2,7
CDU,JDW,1,1,238,2,7
AFD,JDW,2,2,238,2,7
LINKE,JDW,2,2,238,2,7
CDU,JDW,1,1,238,2,7
FDP,JDW,1,1,238,2,7
US,JDW,1,1,238,2,7
JK,JDW,2,2,238,2,7
LINKE,JDW,2,2,238,2,7
JK,JDW,2,2,238,2,7
CDU,JDW,1,1,238,2,7
CS,JDW,6,2,238,2,15
KGE,JDW,2,2,238,2,7
CDU,JDW,1,1,238,2,7
AOE,JDW,1,1,238,2,7
GL,JDW,6,2,238,2,7
CDU,JDW,1,1,238,2,7
LINKE,JDW,2,2,238,2,7
CDU,JDW,1,1,238,2,7
FDP,JDW,1,1,238,2,7
LINKE,JDW,2,2,238,2,7
CDU,JDW,1,1,238,2,7
AG,JDW,6,2,238,2,7
LINKE,DB,1,1,238,2,7
PBY,DB,1,1,238,2,7
LINKE,DB,1,1,238,2,14
GRUENE,DB,1,1,238,2,14
LINKE,DB,1,1,238,2,7
JK,DB,6,2,238,2,7
LINKE,DB,1,1,238,2,7
LINKE,DB,1,1,238,2,3
GRUENE,DB,1,1,238,2,3
AG,FDP,6,2,238,1,3
CL,AG,3,2,238,1,3
AG,CL,7,2,238,2,3
AGL,DB,6,2,238,2,3
LINKE,DB,1,1,238,2,7
GRUENE,DB,1,1,238,2,7
LINKE,DB,1,1,238,2,7
LINKE,DB,1,1,238,2,7
GRUENE,DB,1,1,238,2,7
LINKE,DB,1,1,238,2,7
MASZ,DB,2,2,238,2,7
AGL,DB,6,3,238,2,7
LINKE,DB,1,1,238,2,7
LINKE,DB,1,1,238,2,7
LINKE,DB,1,1,238,2,7
AGL,DB,6,1,238,2,7
MASZ,DB,3,2,238,2,7
FDP,DB,2,2,238,2,7
LINKE,DB,1,1,238,2,7
RB,DB,2,2,238,2,7
JDW,DB,2,2,238,2,7
LINKE,DB,1,1,238,2,7
MRA,AB,2,2,238,2,7
GRUENE,AB,1,1,238,2,7
GRUENE,AB,1,1,238,2,7
GRUENE,AB,1,1,238,2,3
LINKE,AB,1,1,238,2,3
MASZ,AB,2,2,238,2,7
